Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
festive rug,,NA,5,red ornament,5,blue ornament,5,gold ornament,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.6.0,Yes,0,Rugs,7544,white,RugSquareChristmasL00,NA,7470,746,MQuYCrEgrAwCpcByz
festive top set,,NA,2,gold ornament,1,hardwood,,,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Miscellaneous,12230,white,FtrFestivaltop,NA,7400,650,tyq7gwEQhneN7ret4
festive tree,,NA,3,red ornament,3,blue ornament,2,gold ornament,5,wood,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3991,white,FtrTreeXmasS,NA,7403,274,vtwGE69N2Z3GppKwx
festive wrapping paper,,NA,1,red ornament,1,blue ornament,1,gold ornament,,,,,,,NFS,200,NA,NA,Jingle,,Toy Day,Yes,1.6.0,Yes,0,Other,13792,white,WPaperOrnament,NA,7490,751,NLbsc7TY99g5MZR6t
firewood,,NA,8,wood,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,5970,brown,FtrFirewood,NA,467,402,yDibbjkFgmEuJtdS6
fish bait,,NA,1,manila clam,,,,,,,,,,,NFS,NA,NA,NA,Digging up clams,,NA,NA,1.0.0,Yes,0,Other,4549,white,FishBait,NA,131,191,XSQzMk4R5tzbPbToi
fish-and-chips,,NA,2,potato,1,dab,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14104,color_69,FtrFishandchips,NA,12302,915,bCyrGeDni9YbgrkSr
fishing rod,,NA,1,flimsy fishing rod,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,NA,NA,1.0.0,Yes,0,Tools,2377,beige,ToolAngling,NA,106,282,FeccEGBoFMHyMM75Q
flat garden rock,,NA,20,stone,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,12206,light gray,FtrGardenrockLow,NA,806,646,JFxaTW3m9gD8zWTyQ
flimsy axe,,NA,5,tree branch,1,stone,,,,,,,,,280,200,NA,NA,Tom Nook; Nook's Cranny,Obtained through Tom Nook's DIY Workshop at the beginning of the game and can also be purchased at Nook's Cranny,NA,NA,1.0.0,Yes,0,Tools,3068,beige,ToolAxeStone,NA,100,10,6WFHd6r74ZDND9eCx
flimsy fishing rod,,NA,5,tree branch,,,,,,,,,,,280,200,NA,NA,Tom Nook,Obtained through Tom Nook's DIY Workshop at the beginning of the game,NA,NA,1.0.0,Yes,0,Tools,3084,beige,ToolFishingrodWood,NA,105,21,9JboJHudaWqqbQxbZ
flimsy net,,NA,5,tree branch,,,,,,,,,,,280,200,NA,NA,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,NA,NA,1.0.0,Yes,0,Tools,2376,beige,ToolNet,NA,107,22,jF9AD5TZekwWomWwJ
flimsy shovel,,NA,5,hardwood,,,,,,,,,,,280,200,NA,NA,Blathers; Nook's Cranny,,NA,NA,1.0.0,Yes,0,Tools,3082,beige,ToolShovelWood,NA,103,19,bPp3TpiueJDRte9wT
flimsy watering can,,NA,5,softwood,,,,,,,,,,,280,200,NA,NA,Tom Nook; Nook's Cranny,,NA,NA,1.0.0,Yes,0,Tools,3083,beige,ToolWateringWood,NA,109,20,FnnhLbn7KQdg2Xqey
floral swag,,NA,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4027,green,FtrFlowerSwag,NA,1230,121,d2brTtEXPaFRfbcFh
flour,,NA,5,wheat,,,,,,,,,,,NFS,200,NA,NA,Be a Chef! DIY Recipes+,,NA,NA,2.0.0,Yes,0,Savory,13994,color_61,FlourWheat,NA,12001,903,H2HybpsWw7ZAaHLim
flower stand,,NA,1,red roses,2,pink roses,2,orange roses,2,white lilies,1,yellow lilies,4,purple windflowers,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Housewares,7527,green,FtrStandflower,NA,7808,608,faN686NpjrFkDricn
flying saucer,,NA,15,star fragment,10,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1447,silver,FtrUFO,NA,2227,233,JDCn8zkKX2JwHBxBh
forbidden altar,,NA,30,stone,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,2.0.0,Yes,50,Housewares,13520,light gray,FtrAltar,NA,823,1048,fHyDHqcgpS7N8SFJ4
forest flooring,,NA,1,rare mushroom,2,round mushroom,2,skinny mushroom,2,flat mushroom,10,clump of weeds,,,NFS,200,NA,NA,Balloons,,mushrooms,Yes,1.0.0,Yes,0,Floors,7186,orange,RoomTexFloorMushForest00,NA,5460,488,Qb6n9omuBxypP7aje
forest wall,,NA,2,elegant mushroom,2,round mushroom,2,skinny mushroom,2,flat mushroom,10,wood,,,NFS,200,NA,NA,Balloons,,mushrooms,Yes,1.0.0,Yes,0,Wallpaper,7187,orange,RoomTexWallMushForest00,NA,5450,484,dtfYZqMNT9jsPDwTj
fossil doorplate,,NA,1,fossil,2,stone,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,5719,light gray,FtrDoorOrnamentFossil,NA,840,464,eig2yBncaDeGLkfKP
fountain,,NA,1,drinking fountain,20,stone,8,iron nugget,,,,,,,NFS,200,3000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,8031,light gray,FtrFountain,NA,804,599,LWAeuHiDEv25pHRQx
foxtail,,NA,3,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,2.0.0,Yes,0,Other,14645,green,ToolFoxtailPlayer,NA,1293,1036,9WDYYJepjkjT9qBuX
french fries,,NA,3,potato,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14105,color_63,FtrChips,NA,12301,916,cbSEnSErNKG8e3st5
frosted cookies,,NA,1,flour,2,sugar,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13993,color_75,FtrCookieIcing,NA,14002,902,7L5SgF5F6Xv5rjH6Z
frosted pretzels,,NA,1,flour,2,sugar,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13987,color_62,FtrPretzelSugar,NA,14102,896,yxMnLdmcpzcSTxfRy
frozen arch,,NA,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3499,blue,FtrIceGate,NA,6606,140,FqCNQ69DMLvgxruE9
frozen bed,,NA,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3502,blue,FtrIceBedW,NA,6604,149,zBcsrLsdydLH3xHNE
frozen chair,,NA,1,large snowflake,3,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3503,blue,FtrIceChairS,NA,6601,142,jJq4Bjw6SaE7S8mnT
frozen counter,,NA,1,large snowflake,5,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3505,blue,FtrIceCounter,NA,6602,143,p76DgzdnhT9SCNipu
frozen fence,,NA,5,snowflake,,,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,2.0.0,Yes,0,Other,14756,blue,ItemFenceIce,NA,7090,1008,bkpwgSC3PfhFJ8pby
frozen floor tiles,,NA,8,snowflake,,,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,2.0.0,Yes,0,Rugs,13572,blue,RugSquareIceS00,NA,7070,1044,MBhcKeApyKhzZqncH
frozen mini snowperson,,NA,1,large snowflake,2,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,2.0.0,Yes,0,Miscellaneous,743,blue,FtrIceSnowball,NA,6611,1063,FuuFZ5nxpMinaPY58
frozen partition,,NA,1,large snowflake,6,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3498,blue,FtrIceScreen,NA,6605,147,8MAAQxYSHaQBQ6A2t
frozen pillar,,NA,1,large snowflake,3,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3500,blue,FtrIcePillar,NA,6607,148,NLsTNAekFvRenddKs
frozen sculpture,,NA,1,large snowflake,4,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3501,blue,FtrIceArt,NA,6608,141,GGrDCvwPHpbzRnhzi
frozen table,,NA,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3497,blue,FtrIceTableL,NA,6603,146,ERiC3P6oPfo8EgJcb
frozen tree,,NA,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3504,blue,FtrIceTree,NA,6609,145,CiiuZA9ZJhtjTrD8C
frozen-treat set,,NA,1,large snowflake,1,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Miscellaneous,4279,blue,FtrIceCandy,NA,6600,194,ygrBuPoB8ZKRjnXXD
fruit basket,,NA,1,apple,1,pear,1,cherry,1,orange,1,peach,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,975,white,FtrFruitbasket,NA,1900,56,sAtJ8kdcam2FX5MJb
fruit cupcakes,,NA,1,flour,1,apple,1,orange,1,pear,1,peach,1,cherry,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14116,color_70,FtrCupcakeFruits,NA,14203,924,tCDrHekuCbcy2nchq
fruit pizza,,NA,3,flour,1,apple,1,orange,1,pear,1,peach,1,cherry,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14697,color_63,FtrPizzaFruits,NA,13203,969,ad8Jxepey729xieTR
fruit salad,,NA,1,apple,1,orange,1,pear,1,peach,1,cherry,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,13966,color_73,FtrSaladbowlFruits,NA,12205,875,E88cLtY4J7Jw6QgaQ
fruit scones,,NA,2,flour,1,apple,1,orange,1,pear,1,peach,1,cherry,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14115,color_70,FtrSconeFruits,NA,14402,923,gpgHgqhHPmXohiHov
fruit wreath,,NA,2,apple,1,pear,3,cherry,3,orange,1,peach,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,4378,white,FtrDoorOrnamentWreathFruit,NA,1940,223,FPCNEvg2aBDZZkjxu
fruit-topped pancakes,,NA,2,flour,1,apple,1,orange,1,pear,1,peach,1,cherry,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14132,color_64,FtrPancakeFruits,NA,14803,940,iNr2FDtBATbYFx3He
frying pan,,NA,2,iron nugget,,,,,,,,,,,NFS,200,NA,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,NA,NA,1.0.0,Yes,0,Miscellaneous,4104,dark gray,FtrPan,NA,908,199,bgMKMNGmxjKPXaDNp
full-body glowing-moss suit,,NA,15,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Equipment,14257,color_56,TopsTexOnepieceSalopetteemmLMoss0,NA,1583,1005,i35LbGfqcgZwgpWqD
galaxy flooring,,NA,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Floors,5269,silver,RoomSpFloorGalaxy00,NA,2260,482,e3XyJ7j4bQYXSRDBW
garbage-heap flooring,,NA,2,empty can,2,boot,2,old tire,,,,,,,NFS,NA,NA,NA,Fishing,Fish up 15 trash,NA,NA,1.0.0,Yes,0,Floors,5236,dark gray,RoomTexFloorGarbage00,NA,680,486,Ksn3xwxp4aqcty4Z6
garbage-heap wall,,NA,2,empty can,2,boot,2,old tire,,,,,,,NFS,NA,NA,NA,Fishing,Fish up 15 trash,NA,NA,1.0.0,Yes,0,Wallpaper,5229,dark gray,RoomTexWallGarbage00,NA,670,301,pmFETBqn6JQFmXnA3
garden bench,,NA,12,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,3509,blue,FtrParkbenche,NA,1009,124,AToP4B59FCDjcpbHj
garden rock,,NA,15,stone,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,729,light gray,FtrGardenrock,NA,805,48,gH69947Ybie3us6SB
garden wagon,,NA,3,white hyacinths,3,red cosmos,3,yellow roses,8,wood,2,iron nugget,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,50,Housewares,8419,brown,FtrGardenwagon,NA,436,571,4g5iFxN9TFG7KwndZ
gear apparatus,,NA,3,gears,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,2.0.0,Yes,50,Housewares,13511,yellow,FtrGearVertical,NA,2168,1047,mBBXoCPzatB9dsd8h
gear tower,,NA,4,gears,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,2.0.0,Yes,50,Housewares,13509,yellow,FtrGearHorizontal,NA,2167,1046,CTbWocnuicHLsYz3Q
Gemini closet,,NA,3,star fragment,2,Gemini fragment,2,gold nugget,6,stone,,,,,NFS,200,NA,NA,Celeste,,Gemini,Yes,1.0.0,Yes,0,Housewares,5960,silver,FtrZodiacGemini,NA,2302,377,jD3cfJDgrgBozKYnz
giant ornament,,NA,10,red ornament,,,,,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,2.0.0,Yes,0,Housewares,14594,white,FtrOrnamentBig,NA,7414,1013,W2b8yFSKD2pCSgibP
giant teddy bear,,NA,1,Papa bear,1,Mama bear,1,Baby bear,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Housewares,1504,yellow,FtrBearXL,NA,2160,577,jPYidbBoH7RNB4jRQ
giant vine,,NA,25,vine,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14192,color_56,FtrBeanstalk,NA,1303,830,bJ36JiffXjoKehdN7
gift pile,,NA,3,red wrapping paper,1,wooden-block toy,1,cardboard box,,,,,,,NFS,200,NA,NA,Jingle,Reward from Jingle after delivering more than half the gifts on Toy Day,Toy Day,Yes,1.6.0,Yes,0,Housewares,13244,white,FtrCrsPresents,NA,7411,750,w5mSW9qzTeyEypXTh
glow-in-the-dark stickers,,NA,5,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Wall-mounted,14215,color_56,FtrLuminousSticker,NA,1530,998,NwRL2i2m6Xts7qmvz
glowing-moss balloon,,NA,10,glowing moss,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14208,color_56,FtrLuMossBalloon,NA,1502,1000,vxppzYpNu2H5RuXwA
glowing-moss boulder,,NA,15,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14209,color_56,FtrLuMossTable,NA,1501,828,znAWfRX9ukCK2RK46
glowing-moss cave wall,,NA,10,glowing moss,10,clay,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Wallpaper,13881,color_56,RoomSpWallGlowCave00,NA,1551,772,K3JbMBxMBZr9ZpqjJ
glowing-moss dress,,NA,15,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Equipment,14259,color_56,TopsTexOnepieceBalloonemmHMoss0,NA,1584,1006,rpKeoJZ3kEyshQLAi
glowing-moss flooring,,NA,10,glowing moss,10,clump of weeds,5,stone,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Floors,13879,color_56,RoomSpFloorGlowMoss00,NA,1560,770,Eq3nYFjnB3h7QEwbc
glowing-moss forest wall,,NA,10,glowing moss,10,hardwood,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Wallpaper,13019,color_56,RoomSpWallGlowMoss00,NA,1550,773,uARWazeeLrFfxPZnb
glowing-moss headband,,NA,3,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Equipment,14201,color_56,CapOrnamentFMoss0,NA,1582,1004,iWLMkxHwdxBZHKx73
glowing-moss hood,,NA,8,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Equipment,14199,color_56,CapCostumeMoss0,NA,1580,1002,uhuDiCmFfateCdrRf
glowing-moss jar,,NA,3,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Miscellaneous,14604,color_56,FtrLuMossBottle,NA,1503,1001,CwWgFRg3XFij6Bcbw
glowing-moss pointed cap,,NA,8,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Equipment,14198,color_56,CapHatMoss0,NA,1581,1003,PGwujCnH3QHrDEwsg
glowing-moss pond,,NA,30,glowing moss,10,stone,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14212,color_56,FtrLuMossFountain,NA,1507,995,qtaZkptnWkY53bngb
glowing-moss rug,,NA,6,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Rugs,13877,color_56,RugRectGlowMossM00,NA,1571,768,95Fvc6yPCAzw4hXSH
glowing-moss ruins wall,,NA,10,glowing moss,1,ruins wall,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Wallpaper,13874,color_56,RoomSpWallGlowRemains00,NA,1552,765,zd258JrtWLHEFjt8K
glowing-moss statue,,NA,5,glowing moss,8,stone,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14213,color_56,FtrLuMossStatue,NA,1506,996,vADanXnx9D3QosSdx
glowing-moss stool,,NA,8,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14207,color_56,FtrLuMossChair,NA,1500,827,J5CZbZHxn7chngcmG
glowing-moss wreath,,NA,5,glowing moss,,,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Wall-mounted,14211,color_56,FtrDoorOrnamentWreathLuMoss,NA,1540,994,9knqoEQkS4TAmspFa
glowing-moss-jar shelves,,NA,6,glowing-moss jar,6,iron nugget,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14214,color_56,FtrLuMossShelf,NA,1504,997,DGKnaL7QgHt93NiaN
gnocchi di carote,,NA,2,flour,3,carrot,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,13940,color_61,FtrGnocchiCarrot,NA,12901,853,FR4pcoqQTEAru5dCs
gnocchi di patate,,NA,2,flour,3,potato,,,,,,,,,NFS,200,NA,NA,Basic Cooking Recipes,,NA,NA,2.0.0,Yes,0,Savory,13939,color_73,FtrGnocchiPotato,NA,12902,852,zbCK2ibhrPLZd4juP
gnocchi di zucca,,NA,2,flour,3,orange pumpkin,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,13938,color_68,FtrGnocchiPumpkin,NA,12903,851,2vBYxcMArqhGwRFQk
gold armor,,NA,8,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Equipment,4590,gold,TopsTexOnepieceOverallLPlatearmorGold,NA,1161,566,9ThvdcF6fyMHcpzx2
gold bars,,NA,3,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,3065,gold,FtrGoldbar,NA,1100,81,3DtQMaiAHW8XDdX4c
gold helmet,,NA,5,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,200,Equipment,5346,gold,CapFullfaceKnightGold,NA,1160,644,ihpryTYADPJmMyH3G
gold rose crown,,NA,6,gold roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,7378,green,CapOrnamentRose5,NA,8216,460,RAj5rwhgZgfNLzsTh
gold rose wreath,,NA,10,gold roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5820,green,FtrDoorOrnamentWreathRoseGold,NA,7856,449,fYHqu9bGpt2ivTWRt
gold-armor shoes,,NA,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,200,Equipment,5524,gold,ShoesKneeKnightGold,NA,1162,643,4nY6xoTSqFMjzsTLp
gold-nugget mining car,,NA,3,gold nugget,1,mining car,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,2.0.0,Yes,100,Housewares,14480,gold,FtrGoldTrolley,NA,1123,1031,TrrHRrPWiwDFRRqNF
gold-screen wall,,NA,2,gold nugget,1,screen wall,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4820,gold,RoomTexWallFusumaGorgeous00,NA,1151,298,oCeLPYajbm2MHZyGn
golden altar,,NA,5,gold nugget,1,forbidden altar,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,2.0.0,Yes,200,Housewares,14482,gold,FtrGoldAltar,NA,1122,1029,9pTNd8Haukur6KfYa
golden arowana model,,NA,3,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,11260,gold,FtrFishArowanaGold,NA,1132,602,TG3z4Bf2ju3Wo5tRK
golden axe,,NA,1,gold nugget,1,axe,,,,,,,,,NFS,NA,NA,NA,Breaking 100 axes,,NA,NA,1.0.0,Yes,0,Tools,9617,gold,ToolAxeGold,NA,112,663,M67DJhFjbWusf3xXk
golden bathtub,,NA,2,gold nugget,1,square bathtub,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,2.0.0,Yes,100,Housewares,14483,gold,FtrGoldBathSquare,NA,1120,1030,fY9XZ74aRKnhdt4cD
golden candlestick,,NA,2,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,3772,gold,FtrGoldCandlestand,NA,1102,130,F78p9Pkj6X2TRfpDT
golden casket,,NA,8,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,200,Housewares,8825,gold,FtrGoldCoffin,NA,1105,569,erQLwMgyX6NwbpNmG
golden decorative plate,,NA,1,gold nugget,1,decorative plate,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,2.0.0,Yes,100,Miscellaneous,14492,gold,FtrGoldDecorativeplate,NA,1111,1027,tSPacuJhhLwshhhgM
golden dharma,,NA,1,gold nugget,1,dharma,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,2.0.0,Yes,100,Miscellaneous,14487,gold,FtrGoldDharma,NA,1109,825,PH6T5n5grNanGNxbY
golden dishes,,NA,1,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,3810,gold,FtrGoldDishes,NA,1101,131,NX2ZZ8qZnEqqWtSGH
golden dung beetle,,NA,3,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,5941,gold,FtrInsectKabutomushiGold,NA,1131,601,XhKhDoMTgc8eAoJna
golden flooring,,NA,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Floors,5021,gold,RoomTexFloorGold00,NA,1155,475,Xju8kS2TB7B9EXbDG
golden garden bunny,,NA,1,gold nugget,1,bunny garden decoration,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,2.0.0,Yes,100,Miscellaneous,14488,gold,FtrGoldOrnamentRabbit,NA,1113,1024,dPg2a7oiZy4CzMee6
golden gear apparatus,,NA,2,gold nugget,1,gear apparatus,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,2.0.0,Yes,100,Housewares,14485,gold,FtrGoldGearVertical,NA,1117,1022,upbwMnFjWGmHNtgP7
golden gear tower,,NA,2,gold nugget,1,gear tower,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,2.0.0,Yes,100,Housewares,14486,gold,FtrGoldGearHorizontal,NA,1118,1023,8DPAigiGevwoymiyq
golden gears,,NA,1,gold nugget,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,11261,gold,FtrGearWallGold,NA,1130,595,5JDaCQoYazbP4QkGN
golden ladder set-up kit,,NA,1,ladder,1,gold nugget,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,100,Tools,14470,gold,LadderKitD,NA,126,819,QkvwL7LsEtLzxuHxh
golden meter and pipes,,NA,2,gold nugget,1,meter and pipes,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,2.0.0,Yes,100,Housewares,14484,gold,FtrGoldBulb,NA,1116,1021,Xo4sJGYucyRqjvYd5
golden net,,NA,1,gold nugget,1,net,,,,,,,,,NFS,200,NA,NA,Completing bug Critterpedia,,NA,NA,1.0.0,Yes,0,Tools,8179,gold,ToolNetGold,NA,115,658,cnQ4qLNgFDK7F4NQJ
